Collections under StatPP/Data
@ID,rdfs:LABEL,skos:NOTATION,dct:DESCRIPTION,dct:REFERENCES
https://codes.nws.noaa.gov/StatPP/Data/Met,"Meteorology",Met,"Discipline of meteorology",""
https://codes.nws.noaa.gov/StatPP/Data/Ocean,"Oceanography",Ocean,"Discipline of oceanographic products","http://codes.wmo.int/grib2/codeflag/0.0/10"
https://codes.nws.noaa.gov/StatPP/Data/Source,"Source",Source,"Collection of data sources used in Statistical Post Processing.  In some cases post-processed output from one technique is used as a source for another technique.",""
https://codes.nws.noaa.gov/StatPP/Data/Time,"Time",Time,"Collection of time concepts",""
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp,"Temperature",Temp,"Parameter category of temperature","http://codes.wmo.int/grib2/codeflag/4.1/0-0"
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability,"Stability",Stability,"Parameter category of stability","http://codes.wmo.int/grib2/codeflag/4.1/_0-7"
https://codes.nws.noaa.gov/StatPP/Data/Met/Phys,"Physical",Phys,"Parameter category of physical atmospheric properties","http://codes.wmo.int/grib2/codeflag/4.1/0-19"
https://codes.nws.noaa.gov/StatPP/Data/Met/Cloud,"Cloud",Cloud,"Parameter category of cloud","http://codes.wmo.int/grib2/codeflag/4.1/_0-6"
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist,"Moisture",Moist,"Parameter category of moisture ('invisible')","http://codes.wmo.int/grib2/codeflag/4.1/_0-1"
https://codes.nws.noaa.gov/StatPP/Data/Met/Mass,"Mass",Mass,"Parameter category of mass","http://codes.wmo.int/grib2/codeflag/4.1/0-3"
https://codes.nws.noaa.gov/StatPP/Data/Met/Chem,"Atmospheric Chemistry",Chem,"Parameter category for atmospheric chemistry","http://codes.wmo.int/grib2/codeflag/4.1/_0-20"
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment,"Momentum",Moment,"Parameter category of momentum","http://codes.wmo.int/grib2/codeflag/4.1/_0-2"
https://codes.nws.noaa.gov/StatPP/Data/Met/Misc,"Miscellaneous",Misc,"Parameter category of miscellaneous","http://codes.wmo.int/grib2/codeflag/4.1/_0-191"
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx,"Present Weather",Wx,"Parameter category for present weather ('hydrometeors')  ",""
https://codes.nws.noaa.gov/StatPP/Data/Met/Wx/M2KCodedWx,"MOS 2000 Present Weather Codes",M2KCodedWx,"In the MOS 2000 system, a coded representation of present weather information captured from an observation (e.g., METAR). This information is distilled into three integers (with inherent data loss). This collection interprets the coded values.  For an explanation, see TDL (MDL) Office Note 00-1, 13.21-22.","https://www.weather.gov/media/mdl/TDL_OfficeNote00-1.pdf"
https://codes.nws.noaa.gov/StatPP/Data/Ocean/Waves,"Waves",Waves,"Category of wave parameters",""
https://codes.nws.noaa.gov/StatPP/Data/Time/SeasDayFmt,"Season Date Format",SeasDayFmt,"Methods used to encode seasonal dates",""
https://codes.nws.noaa.gov/StatPP/Data/Time/FcstCycFmt,"Forecast Cycle Format",FcstCycFmt,"Methods used to encode forecast cycles",""
