Concepts under StatPP/Data
@ID,rdfs:LABEL,skos:NOTATION,dct:DESCRIPTION,dct:REFERENCES
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp/SoilTemp,"Soil temperature",SoilTemp,"Soil temperature","http://codes.wmo.int/grib2/codeflag/4.2/_2-0-2",
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp/EquPotTemp,"Equivalent potential temperature",EquPotTemp,"Equivalent potential temperature",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp/DewPt,"Dewpoint temperature",DewPt,"Dewpoint temperature","http://codes.wmo.int/grib2/codeflag/4.2/_0-0-6",
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp/PotTemp,"Potential temperature","PotTemp","Potential temperature","http://codes.wmo.int/grib2/codeflag/4.2/_0-0-2",
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp/LapRate,"Lapse rate",LapRate,"Lapse rate","http://codes.wmo.int/grib2/codeflag/4.2/_0-0-8",
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp/WbPotTemp,"Wet bulb potential temperature",WbPotTemp,"Wet bulb potential temperature",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp/WbTemp,"Wet bulb temperature",WbTemp,"Wet bulb temperature","http://codes.wmo.int/bufr4/codeflag/0-02-039/_2",
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp/VirPotTemp,"Virtual potential temperature","VirPotTemp","Virtual potential temperature","http://codes.wmo.int/grib2/codeflag/4.2/_0-0-15",
https://codes.nws.noaa.gov/StatPP/Data/Met/Temp/Temp,"Temperature","Temp","Temperature","http://codes.wmo.int/grib2/codeflag/4.1/0-0",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/LI,"Surface lifted index",LI,"Surface lifted index","http://codes.wmo.int/grib2/codeflag/4.2/0-7-10",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/LtngFlsh,"Lightning flash number",LtngFlsh,"Lightning flash number","http://codes.wmo.int/bufr4/b/20/_124",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/Hel,"Helicity",Hel,"Calculation of helicity","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-15",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/KIdxTstmRFProd,"Product of the relative frequency of thunderstorms and K Index",KIdxTstmRFProd,"Product of the relative requency of thunderstorms and K Index",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/Sweat,"Sweat index",Sweat,"Sweat index","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-5",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/KIndex,"K Index",KIndex,"K Index","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-2",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/ConvProb,"Probability of convection",ConvProb,"Probability of convection",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/VVKIProd,"Product of vertical velocity and K index",VVKIProd,"Product of vertical velocity and K index",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/CAPE,"Convective available potential energy",CAPE,"Convective available potential energy","http://codes.wmo.int/grib2/codeflag/4.2/0-7-6",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/TstormProb,"Probability of thunderstorms",TstormProb,"Probability of thunderstorms",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/SRH,"Storm-relative helicity",SRH,"Storm-relative helicity","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-8",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/SweatSvrRFProd,"Product of sweat index and relative frequency of severe weather",SweatSvrRFProd,"Product of sweat index and relative frequency of severe weather",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/TotTots,"Total Totals",TotTots,"Total Totals","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-4",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/MoistDivVVProd,"Product of moisture divergence and vertical velocity",MoistDivVVProd,"Product of moisture divergence and vertical velocity",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/SweatCondSvrWxRFProd,"Product for the sweat conditional severe weather relative frequency",SweatCondSvrWxRFProd,"Product for the relative frequency of conditional severe weather depending on Sweat",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/LtngMRFKIProd,"Product of lightning monthly relative frequency and the K Index",LtngMRFKIProd,"Product of lightning monthly relative frequency and the K Index",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/KIdxCnvRFProd,"Product of the relative frequency of convection and K Index",KIdxCnvRFProd,"Product of the relative requency of convection and K Index",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/CIN,"Convective inhibition",CIN,"Convective inhibition","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-7",
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/Threat,"Threat level",Threat,"Threat level",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/VVPWatProd,"Product of vertical velocity and precipitable water",VVPWatProd,"Product of vertical velocity and precipitable water",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/RHVVProd,"Product of RH * vertical velocity",RHVVProd,"Product of RH * vertical velocity",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Stability/LIBest4Lyr,"Best (4-layer) lifted index",LIBest4Lyr,"Best (4-layer) lifted index.  This is computed by first computing LI for parcels lifted from the middle of multiple pre-determined boundary layer levels and then choosing the most unstable value.\n\nThe number 4 in the name seems to be historic.  Modern algorithms seem to use more than four layers.","http://codes.wmo.int/grib2/codeflag/4.2/0-7-11",
https://codes.nws.noaa.gov/StatPP/Data/Met/Phys/Vsby,"Visibility",Vsby,"Visibility","http://codes.wmo.int/grib2/codeflag/4.2/0-19-0",
https://codes.nws.noaa.gov/StatPP/Data/Met/Cloud/CilgHghtProb,"Probability of ceiling height",CilgHghtProb,"Probability of ceiling height",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Cloud/CilgHght,"Ceiling height",CilgHght,"Ceiling height","http://codes.wmo.int/grib2/codeflag/4.2/_0-6-13",
https://codes.nws.noaa.gov/StatPP/Data/Met/Cloud/CloudAmtLyr,"Cloud amount, layer","CloudAmtLyr","Calculation of cloud amount in specified layer",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Cloud/CldAmt,"Cloud amount, binned",CldAmt,"Cloud amount, binned","http://codes.wmo.int/grib2/codeflag/4.2/_0-6-7",
https://codes.nws.noaa.gov/StatPP/Data/Met/Cloud/CloudAmtHgt,"Cloud amount, height","Cloud amount, height","Calculation of cloud amount at specified height",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Cloud/SunDuratn,"Sunshine duration",SunDuratn,"Sunshine duration","http://codes.wmo.int/grib2/codeflag/4.2/0-6-33",
https://codes.nws.noaa.gov/StatPP/Data/Met/Cloud/CldHght,"Cloud height, binned",CldHght,"Cloud height, binned",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Cloud/SkyCover,"Sky cover",SkyCover,"Sky cover","http://codes.wmo.int/grib2/codeflag/4.2/_0-6-22",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/MixR,"Mixing Ratio","MixR","Mixing Ratio","http://codes.wmo.int/bufr4/b/13/_002",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/MoistDiv,"Horizontal moisture divergence",MoistDiv,"Horizontal moisture divergence","http://codes.wmo.int/grib2/codeflag/4.2/_0-1-38",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/ThetaEAdv,"Theta e advection",ThetaEAdv,"Theta e advection",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/TotSNRate,"Total snowfall rate",TotSNRate,"Total snowfall rate","http://codes.wmo.int/grib2/codeflag/4.2/0-1-57",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/PWat,"Precipitable water","PWat","Precipitable water","http://codes.wmo.int/grib2/codeflag/4.1/_0-1",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/SpecHum,"Specific Humidity","SpecHum","Specific Humidity","http://codes.wmo.int/grib2/codeflag/4.2/_0-1-0",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/WatEquAccSN,"Water equivalent of accumulated snow depth",WatEquAccSN,"Water equivalent of accumulated snow depth","http://codes.wmo.int/grib2/codeflag/4.2/0-1-13",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/RelHum,"Relative Humidity","RelHum","Relative Humidity","http://codes.wmo.int/grib2/codeflag/4.2/_0-1-1",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/ThetaEDiff,"Theta_e difference",ThetaEDiff,"Theta_e difference",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moist/VolSoilMoist,"Volumetric soil moisture",VolSoilMoist,"Volumetric soil moisture","http://codes.wmo.int/grib2/codeflag/4.2/_2-0-25",
https://codes.nws.noaa.gov/StatPP/Data/Met/Mass/Pres,"Pressure","Pres","Pressure","http://codes.wmo.int/grib2/codeflag/4.2/_0-3-0",
https://codes.nws.noaa.gov/StatPP/Data/Met/Mass/GeoHght,"Geopotential Height","GeoHght","Geopotential Height","http://codes.wmo.int/grib2/codeflag/4.2/_0-3-5",
https://codes.nws.noaa.gov/StatPP/Data/Met/Mass/PBL,"Planetary boundary layer",PBL,"Planetary boundary layer",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Mass/AltimtrStg,"Altimeter Setting",AltimtrStg,"Altimeter Setting","http://codes.wmo.int/grib2/codeflag/4.2/0-3-11",
https://codes.nws.noaa.gov/StatPP/Data/Met/Chem/Ozone,"Ozone","Ozone","Ozone","http://codes.wmo.int/bufr4/codeflag/0-08-003/_7",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/WSpdRatio,"Wind speed ratio",WSpdRatio,"Wind speed ratio of 925 mb over 10 m",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/Upslope,"Upslope wind speed",Upslope,"Upslope wind speed",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/Gust,"Wind gust",Gust,"Wind gust","http://codes.wmo.int/common/quantity-kind/_maximumWindGustSpeed",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/WindDir,"Wind direction","WindDir","Wind direction","http://codes.wmo.int/grib2/codeflag/4.2/_0-2-0",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/RelVort,"Relative vorticity",RelVort,"Relative vorticity","http://codes.wmo.int/grib2/codeflag/4.2/_0-2-12",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/CondGust,"Conditional gust",CondGust,"Conditional wind gust",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/GeoWsp,"Geostrophic wind speed",GeoWsp,"Geostrophic wind speed",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/BlkShear,"Bulk shear",BlkShear,"Bulk shear",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/AbsVort,"Absolute vorticity",AbsVort,"Absolute vorticity","http://codes.wmo.int/grib2/codeflag/4.2/_0-2-10",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/Uwind,"Zonal wind","Uwind","Zonal wind","http://codes.wmo.int/grib2/codeflag/4.2/_3-1-4",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/Wwind,"Vertical wind",Wwind,"Vertical wind","http://codes.wmo.int/grib2/codeflag/4.2/_0-2-8",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/WSpd,"Wind speed","Wspd","Wind speed","http://codes.wmo.int/grib2/codeflag/4.2/_0-2-1",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/PBLMixHi,"Boundary layer mixing - high",PBLMixHi,"Boundary layer mixing - high",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/ThetaEUwindProd,"Product of theta_e and u wind",ThetaEUwindProd,"Product of theta_e and u wind",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/PBLMixLow,"Boundary layer mixing - low",PBLMixLow,"Boundary layer mixing - low",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/ThetaEVwindProd,"Product of theta_e and v wind",ThetaEVwindProd,"Product of theta_e and v wind",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/Vwind,"Meridional wind","Vwind","Meridional wind","http://codes.wmo.int/grib2/codeflag/4.2/_3-1-5",
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/InflWind,"Inflow wind",InflWind,"Inflow wind",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Moment/GeoRelVort,"Geostrophic relative vorticity",GeoRelVort,"Geostrophic relative vorticity",,
https://codes.nws.noaa.gov/StatPP/Data/Met/Misc/LandSea,"Land/sea cover",LandSea,"Land/sea cover","http://codes.wmo.int/bufr4/b/08/_012",
https://codes.nws.noaa.gov/StatPP/Data/Met/Misc/Veg,"Vegetation",Veg,"Vegetation","http://codes.wmo.int/grib2/codeflag/4.2/_2-0-4",
