Collections under StatPP/Methods
@ID,rdfs:LABEL,skos:NOTATION,dct:DESCRIPTION,dct:REFERENCES
https://codes.nws.noaa.gov/StatPP/Methods/Dyn,"Dynamic",Dyn,"Statistical post-processing methods related to atmospheric dynamics.",""
https://codes.nws.noaa.gov/StatPP/Methods/Wx,"Present Weather",Wx,"Methods to compute present weather",""
https://codes.nws.noaa.gov/StatPP/Methods/QC,"Quality Control",QC,"Quality Control methods in Statistical Post-processing (StatPP) assess observational and forecast data for realism and meteorological consistency.  Suspect data are often set to missing to avoid unwanted effects on StatPP methods.",""
https://codes.nws.noaa.gov/StatPP/Methods/Stat,"Statistical Methods",Stat,"Statistical Methods",""
https://codes.nws.noaa.gov/StatPP/Methods/Cloud,"Cloud",Cloud,"Methods for computing characteristics of cloud cover",""
https://codes.nws.noaa.gov/StatPP/Methods/NBM,"National Blend of Models",NBM,"NBM methods generally combine data from a collection of Statistical Post-processing (StatPP) and Numerical Weather Prediction (NWP) systems to yield a consensus forecast.",""
https://codes.nws.noaa.gov/StatPP/Methods/Arith,"Arithmetic",Arith,"Statistical post-processing methods that are arithmetic calculations",""
https://codes.nws.noaa.gov/StatPP/Methods/Categorization,"Categorization methods",Categorization,"Methods that are used to assign any valid value of a continuous variable to a single category without ambiguity",""
https://codes.nws.noaa.gov/StatPP/Methods/System,"System support",System,"Concepts that support general functionality in operations",""
https://codes.nws.noaa.gov/StatPP/Methods/Ingest,"Ingest",Ingest,"Ingest methods read data that are generally not encoded according to CAMPS formats and conventions and writes these data in a CAMPS-compliant format.",""
https://codes.nws.noaa.gov/StatPP/Methods/Geosp,"Geospatial",Geosp,"Geospatial calculations",""
https://codes.nws.noaa.gov/StatPP/Methods/Thermo,"Thermodynamic",Thermo,"Statistical post-processing methods related to atmospheric thermodynamics","http://codes.wmo.int/grib2/codeflag/4.2/_0-3-12"
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS,"MOS Development",MOS,"Application of the Model Output Statistics technique to NWP data","https://journals.ametsoc.org/doi/abs/10.1175/1520-0450%281972%29011%3C1203%3ATUOMOS%3E2.0.CO%3B2"
https://codes.nws.noaa.gov/StatPP/Methods/Stat/LAMP,"LAMP Development",LAMP,"Application of the LAMP technique to NWP data","https://www.weather.gov/mdl/lamp_about"
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/OutptParams,"Output Parameters",OutptParams,"Collection of statistical (mainly regression) parameters generated by application of the MOS technique",""
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/GFSMOS,"GFS MOS",GFSMOS,"Concepts associated with the application of the Model Output Statistics (MOS) technique to output from the NWS Global Forecast System (GFS)",""
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/NAMMOS,"NAM MOS",NAMMOS,"Concepts associated with the application of the Model Output Statistics (MOS) technique to output from the NWS North American Mesoscale (NAM) forecast system",""
https://codes.nws.noaa.gov/StatPP/Methods/NBM/NBMVersions,"NBM Versions",NBMVersions,"Versions of the National Blend of Models (NBM).",""
https://codes.nws.noaa.gov/StatPP/Methods/Categorization/QPF,"Categorization methods for QPF",QPF,"Methods used to categorize QPF",""
https://codes.nws.noaa.gov/StatPP/Methods/Categorization/QPF/6CatQPF,"QPF in 6 MEAE categories",6CatQPF,"Method for categorizing QPF into 6 mutually exclusive and exhaustive (MEAE) categories.  This categorization was developed specifically for METAR observations and assumes a precision of 0.01 inches:  0=no pcpn; 1=0.01 to 0.09 inches; 2=0.10 to 0.24 inches; 3=0.25 to 0.49 inches; 4=0.50 to 0.99 inches; 5=1.00 to 1.99 inches; 6=2.00 inches or more.  Downloading each category with metadata will yield a machine-readable interpretation.",""
https://codes.nws.noaa.gov/StatPP/Methods/System/Status,"Operational status",Status,"Operational status",""
https://codes.nws.noaa.gov/StatPP/Methods/System/Role,"Role in operations",Role,"Role in operations",""
