Concepts under StatPP/Methods
@ID,rdfs:LABEL,skos:NOTATION,dct:DESCRIPTION,dct:REFERENCES
https://codes.nws.noaa.gov/StatPP/Methods/Dyn/VortAdv,"Vorticity advection","VortAdv","Calculation of vorticity advection",,
https://codes.nws.noaa.gov/StatPP/Methods/Dyn/Adv,"Advection","Adv","Calculation of advection of specific property",,
https://codes.nws.noaa.gov/StatPP/Methods/Dyn/WaveHght,"Wave height","WaveHght","Calculation of wave height","http://codes.wmo.int/bufr4/b/22/_021",
https://codes.nws.noaa.gov/StatPP/Methods/Dyn/BlkRich,"Bulk Richardson number","BlkRich","Calculation of the bulk Richardson number","http://codes.wmo.int/grib2/codeflag/4.2/_0-7-12",
https://codes.nws.noaa.gov/StatPP/Methods/Dyn/Shear,"Wind Shear","Shear","Calculation of wind shear between two specified levels","http://codes.wmo.int/bufr4/codeflag/0-20-023/_13",
https://codes.nws.noaa.gov/StatPP/Methods/Dyn/Div,"Divergence","Div","Calculation of divergence","http://codes.wmo.int/grib2/codeflag/4.2/_3-1-13",
https://codes.nws.noaa.gov/StatPP/Methods/Wx/Vis,"Visibility","Vis","Calculation of visibility","http://codes.wmo.int/grib2/codeflag/4.2/_0-19-0",
https://codes.nws.noaa.gov/StatPP/Methods/Wx/SnowLiqEquiv,"Liquid equivalent of snow depth","SnowLiqEquiv","Calculation of liquid equivalent of snow depth","http://codes.wmo.int/common/quantity-kind/_snowDepthWaterEquivalent",
https://codes.nws.noaa.gov/StatPP/Methods/QC/METARQC,"Quality Control for Surface Obs","METARQC","A set of checks that ensure meteorological realism in METAR-encoded surface observations",,
https://codes.nws.noaa.gov/StatPP/Methods/QC/GeospatialQC,"Geospatial Quality Control","GeospatialQC","A set of geospatial checks generally used for mesonet observations that move relatively frequently",,
https://codes.nws.noaa.gov/StatPP/Methods/QC/MarineQC,"Quality Control for Marine Obs","MarineQC","A set of checks that ensure meteorological realism in marine observations",,
https://codes.nws.noaa.gov/StatPP/Methods/QC/LampQC,"LAMP quality control","LampQC","Quality control method used by LAMP",,
https://codes.nws.noaa.gov/StatPP/Methods/QC/MesoQC,"Quality Control for Mesonet Obs","MesoQC","A set of checks that ensure meteorological realism in mesonet observations",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/2h,"2-hour average",2h,"2-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/PIT,"Probability Integral Transformation","PIT","Probability Integral Transformation",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/24h,"24-hour average",24h,"24-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/1h,"1-hour average",1h,"1-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/15h,"15-hour average",15h,"15-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/+3h,"Time period of future 3 hours",+3h,"Time period of future 3 hours",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/Pct,"Percentage",Pct,"Percentage",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/RelFreqSum,"Relative Frequency Summation","RelFreqSum","Summation of relative frequencies from a Probability Integral Transformation",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/+12h,"Time period of future 12 hours",+12h,"Time period of future 12 hours",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/-24h,"Time period of past 24 hours",-24h,"Time period of past 24 hours",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/QuantMap,"Quantile Mapping","QuantMap","Mapping a forecast's CDF value to the corresponding value on a reference CDF.","https://doi.org/10.1175/2010WAF2222367.1",
https://codes.nws.noaa.gov/StatPP/Methods/Stat/-9h,"Time period of past 9 hours",-9h,"Time period of past 9 hours",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/SSP,"Single station predictor",SSP,"Calculation of a single station predictor",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/9h,"9-hour average",9h,"9-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/21h,"21-hour average",21h,"21-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/12h,"12-hour average",12h,"12-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/Bin,"Binary",Bin,"Binary operator",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/LogitTrans,"Logit transformation",LogitTrans,"Logit transformation",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/LogitReg,"Logit regression",LogitReg,"Logit regression",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/+9h,"Time period of future 9 hours",+9h,"Time period of future 9 hours",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/-12h,"Time period of past 12 hours",-12h,"Time period of past 12 hours",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/-6h,"Time period of past 6 hours",-6h,"Time period of past 6 hours",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/CondProb,"Conditional probability",CondProb,"Conditional probability of occurrence of specified event","http://codes.wmo.int/bufr4/b/33/_046",
https://codes.nws.noaa.gov/StatPP/Methods/Stat/6h,"6-hour average",6h,"6-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/Prob,"Probability of occurrence",Prob,"Probability of occurrence",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/18h,"18-hour average",18h,"18-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/QuantFunctEval,"Evaluate Quantile Function","QuantFunctEval","The process of evaluating the quantile function of the distribution of a random variable to return the corresponding values on the abscissa (x-axis).  Usually applied to a CDF or relative frequency distribution.",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/GaussNoise,"Gaussian Noise","GaussNoise","Add Random Noise, generated from a normal distribution,  to a dataset.",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/+6h,"Time period of future 6 hours",+6h,"Time period of future 6 hours",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/+24h,"Time period of future 24 hours",+24h,"Time period of future 24 hours",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/-3h,"Time period of past 3 hours",-3h,"Time period of past 3 hours","http://codes.wmo.int/bufr4/codeflag/0-19-100/_7",
https://codes.nws.noaa.gov/StatPP/Methods/Stat/SGFilter,"Savitzky-Golay Filter","SGFilter","The application of a Savitzky-Golay filter for smoothing of a dataset.","http://dx.doi.org/10.1021/ac60214a047",
https://codes.nws.noaa.gov/StatPP/Methods/Stat/3h,"3-hour average",3h,"3-hour average",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/MOSEqnFile,"MOS Equation File","MOSEqnFile","File that contains parameters developed from the Model Output Statistics (MOS) technique",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/OutptParams/MOSStdErrEst,"MOS Standard Error Estimate","MOSStdErrEst","The standard error estimates produced as diagnostics when predictive equations are developed using the Model Output Statistics (MOS) technique",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/OutptParams/MOSMultiCorCoef,"MOS Multiple Correlation Coefficients","MOSMultiCorCoef","The multiple correlation coefficients produced as diagnostics when predictive equations are developed using the Model Output Statistics (MOS) technique",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/OutptParams/MOSEqnCoef,"MOS Equation Coefficients","MOSEqnCoef","The coefficients of the predictive equations developed from the Model Output Statistics (MOS) technique","https://doi.org/10.1175/1520-0450(1972)011%3C1203:TUOMOS%3E2.0.CO;2",
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/OutptParams/MOSEqnConst,"MOS Equation Constants","MOSEqnConst","The equation constants of the predictive equations developed from the Model Output Statistics (MOS) technique","https://doi.org/10.1175/1520-0450(1972)011%3C1203:TUOMOS%3E2.0.CO;2",
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/OutptParams/MOSRedOfVar,"MOS Reduction of Variance","MOSRedOfVar","The reduction of variance values produced as diagnostics when predictive equations are developed using the Model Output Statistics (MOS) technique",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/GFSMOS/Temps201805,"Temperature development from May 2018","Temps201805","Specific (and notional) development of MOS temperature equations",,
https://codes.nws.noaa.gov/StatPP/Methods/Stat/MOS/GFSMOS/010501,"Version 01.05.01","010501","Specific (and notional) version of operational GFS MOS",,
https://codes.nws.noaa.gov/StatPP/Methods/Cloud/CldAmtLyr,"Cloud amount, layer","CldAmtLyr","Calculation of cloud amount in specified layer","http://codes.wmo.int/bufr4/b/20/_081",
https://codes.nws.noaa.gov/StatPP/Methods/Cloud/CldAmtHgt,"Cloud amount, height","CldAmtHgt","Calculation of cloud amount at specified height","http://codes.wmo.int/bufr4/b/20/_081",
https://codes.nws.noaa.gov/StatPP/Methods/NBM/NBMVersions/NBM0301,"NBM v3.1","NBM0301","Version 3.1 of the National Blend of Models (NBM)",,
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Min,"Minimum of a sample",Min,"Minimum of a sample","http://codes.wmo.int/bufr4/codeflag/0-08-023/_3",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Grad,"Gradient",Grad,"Calculation of a gradient over specified distance",,
https://codes.nws.noaa.gov/StatPP/Methods/Arith/25ptStencil,"25pt Stencil","25ptStencil","Application of a statistical operator to a central point of interest using the central point and 24 other surrounding points.","https://doi.org/10.1175/MWR-D-16-0331.1",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/9ptStencil,"9pt Stencil","9ptStencil","Application of a statistical operator to a central point of interest using the central point and 8 other surrounding points.","https://doi.org/10.1175/MWR-D-16-0331.1",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/MeanCont,"Mean, continuously processed",MeanCont,"Mean, continuously processed","http://codes.wmo.int/grib2/codeflag/4.10/_0",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Sum,"Summation",Sum,"Calculation of arithmetic sum","http://codes.wmo.int/grib2/codeflag/4.10/_11",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Sin,"Sine",Sin,"Sine",,
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Max,"Maximum of a sample",Max,"Maximum of a sample","http://codes.wmo.int/bufr4/codeflag/0-08-023/_2",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Mean,"Mean of a sample",Mean,"Mean of a sample","http://codes.wmo.int/bufr4/codeflag/0-08-023/_4",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/MaxCont,"Maximum, continuously processed",MaxCont,"Maximum, continuously processed","http://codes.wmo.int/grib2/codeflag/4.10/_2",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Sin2,"Sine2",Sin2,"Sine2",,
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Cos2,"Cosine2",Cos2,"Cosine2",,
https://codes.nws.noaa.gov/StatPP/Methods/Arith/AbsErr,"Absolute error",AbsErr,"Calculation of absolute error",,
https://codes.nws.noaa.gov/StatPP/Methods/Arith/FwdAvg,"Forward average",FwdAvg,"Calculation of a forward average","http://codes.wmo.int/bufr4/codeflag/0-08-021/_6",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/BackAvg,"Backward average",BackAvg,"Calculation of a backward average",,
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Diff,"Difference",Diff,"Calculation of arithmetic difference","http://codes.wmo.int/bufr4/b/08/_024",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Bias,"Bias correction",Bias,"Bias correction","http://codes.wmo.int/bufr4/codeflag/0-35-031/_17",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Prod,"Product",Prod,"Calculation of arithmetic product","http://codes.wmo.int/grib2/codeflag/4.1/_3-1",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/AlgErr,"Algebraic error",AlgErr,"Calculation of algebraic error",,
https://codes.nws.noaa.gov/StatPP/Methods/Arith/MinCont,"Minimum, continuously processed",MinCont,"Minimum, continuously processed","http://codes.wmo.int/grib2/codeflag/4.10/_3",
https://codes.nws.noaa.gov/StatPP/Methods/Arith/Cos,"Cosine",Cos,"Cosine",,
https://codes.nws.noaa.gov/StatPP/Methods/Categorization/QPF/6CatQPF/Cat1,"Category 1","Cat1","From 0.01 to 0.09 inches",,
https://codes.nws.noaa.gov/StatPP/Methods/Categorization/QPF/6CatQPF/Cat6,"Category 6","Cat6","From 2.00 and up",,
https://codes.nws.noaa.gov/StatPP/Methods/Categorization/QPF/6CatQPF/Cat4,"Category 4","Cat4","From 0.50 to 0.99 inches",,
https://codes.nws.noaa.gov/StatPP/Methods/Categorization/QPF/6CatQPF/Cat2,"Category 2","Cat2","From 0.10 to 0.24 inches",,
https://codes.nws.noaa.gov/StatPP/Methods/Categorization/QPF/6CatQPF/Cat0,"Category 0","Cat0","No precipitaton",,
https://codes.nws.noaa.gov/StatPP/Methods/Categorization/QPF/6CatQPF/Cat5,"Category 5","Cat5","From 1.00 to 1.99 inches",,
https://codes.nws.noaa.gov/StatPP/Methods/Categorization/QPF/6CatQPF/Cat3,"Category 3","Cat3","From 0.25 to 0.49 inches",,
https://codes.nws.noaa.gov/StatPP/Methods/System/Status/Exp,"Experimental","Exp","Available as resources allow with ""best effort"" support",,
https://codes.nws.noaa.gov/StatPP/Methods/System/Status/Dev,"Developmental","Dev","Under development",,
https://codes.nws.noaa.gov/StatPP/Methods/System/Status/Proto,"Prototype","Proto","Available as resources allow with no expectation for support",,
https://codes.nws.noaa.gov/StatPP/Methods/System/Status/Opnl,"Operational","Opnl","Fully supported within the operational infrastructure",,
https://codes.nws.noaa.gov/StatPP/Methods/System/Role/Backup,"Backup","Backup","The backup set of parameters for a StatPP technique.  Generally, in systems with both primary and backup parameters, the backup parameters make a lesser forecast, but are robust against missing data.",,
https://codes.nws.noaa.gov/StatPP/Methods/System/Role/Primary,"Primary","Primary","The primary set of parameters for a StatPP technique.  Generally, in systems with both primary and backup parameters, the primary parameters make a better forecast, but are prone to problems from missing data.",,
https://codes.nws.noaa.gov/StatPP/Methods/Ingest/DecodeGRIB2,"Decode GRIB2","DecodeGRIB2","A data ingest method that decodes data stored in a GRIB2 bulletin and writes these data in a CAMPS-compliant format.",,
https://codes.nws.noaa.gov/StatPP/Methods/Ingest/DecodeBUFR,"Decode BUFR","DecodeBUFR","A data ingest method that decodes data stored in a BUFR bulletin and writes these data in a CAMPS-compliant format.",,
https://codes.nws.noaa.gov/StatPP/Methods/Ingest/DecodeTabularText,"Decode Tabular Text","DecodeTabularText","A data ingest method that decodes data stored in tabular text format and writes these data in a CAMPS-compliant format.",,
https://codes.nws.noaa.gov/StatPP/Methods/Geosp/BudgetInterp,"Budget Interpolation","BudgetInterp","Interpolation using the four nearest grid points to the point of interest, attempting to preserve gradients","https://journals.ametsoc.org/doi/abs/10.1175/2010WAF2222367.1",
