Concepts under StatPP/Uncertainty
@ID,rdfs:LABEL,skos:NOTATION,dct:DESCRIPTION,dct:REFERENCES
https://codes.nws.noaa.gov/StatPP/Uncertainty/PrcntlRnk,"Percentile Rank","PrcntlRnk","A value (often predetermined) that specifies an ordered quantile of a) the cumulative distribution function of a random variable or b) the observations in a sample in units of percent.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/CondEvent,"Conditioning Event","CondEvent","The event on which a conditional probability depends.  Points to a dichotomous variable.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DescrOfDichVrbl,"Description of a dichotomous variable","DescrOfDichVrbl","A human-readable description of a dichotomous event to which a probability can be assigned",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/CatProb,"Categorical Probability","CatProb","The class of probability forecasts that can be represented by a categorical distribution",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/Qntl,"Quantile","Qntl","Breakpoints that divide a) the range of the probability distribution of a random variable or b) the observations in a sample into contiguous intervals with equal probabilities.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/LBound,"Lower Bound","LBound","Lower bound of an interval",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/CDF,"Cumulative Distribution Function","CDF","Cumulative Distribution Function",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/CatOfContVrbl,"Categorization of a continuous variable","CatOfContVrbl","A procedure used to form categories.  The method must unambiguously assign any valid value to one and only one category.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DichProb,"Dichotomous Probability","DichProb","The class of probability forecasts of yes/no events that are best described in human-readable terms",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/UBound,"Upper Bound","UBound","Upper bound of an interval",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/IntrvlType/OC,"Open Closed Interval","OC","An interval with both lower and upper bounds.  The lower bound condition is strictly greater than.  The upper bound condition is less than or equal to.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/IntrvlType/CO,"Closed Open Interval","CO","An interval with both lower and upper bounds.  The lower bound condition is greater than or equal to.  The upper bound condition is strictly less than.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/IntrvlType/CC,"Closed Closed Interval","CC","An interval with both lower and upper bounds.  The lower bound condition is greater than or equal to.  The upper bound condition is less than or equal to.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/IntrvlType/NO,"NULL Open Interval","NO","An interval with only an upper bound.  The upper bound condition is strictly less than.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/IntrvlType/NC,"NULL Closed Interval","NC","An interval with only an upper bound.  The upper bound condition is less than or equal to.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/IntrvlType/ON,"Open NULL Interval","ON","An interval with only a lower bound.  The lower bound condition is strictly greater than.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/IntrvlType/CN,"Closed NULL Interval","CN","An interval with only a lower bound.  The lower bound condition is greater than or equal to.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/IntrvlType/OO,"Open Open Interval","OO","An interval with both lower and upper bounds.  The lower bound condition is strictly greater than.  The upper bound condition is strictly less than.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DichProbEvents/PcpnOccur,"Precipitation Occurrence","PcpnOccur","An event defined by the observation of falling precipitation in any form.",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DichProbEvents/PtypeCat/Method2/FrzgPcpn,"Freezing Precipitation","FrzgPcpn","One or more of the following:  freezing rain or freezing drizzle, ice pellets, any form of precipitation mixed with these",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DichProbEvents/PtypeCat/Method2/RainSnow,"Liquid Frozen Mix","RainSnow","One or more of the following:  rain or drizzle mixed with one or more of the following:  snow or snow grains",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DichProbEvents/PtypeCat/Method2/FrozPcpn,"Frozen Precipitation","FrozPcpn","One or more of the following:  snow or snow grains",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DichProbEvents/PtypeCat/Method2/LiqdPcpn,"Liquid Precipitation","LiqdPcpn","One or more of the following:  rain or drizzle",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DichProbEvents/PtypeCat/Method1/FrozPcpn,"Frozen Precipitation","FrozPcpn","One or more of the following: snow or snow grains",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DichProbEvents/PtypeCat/Method1/FrzgPcpn,"Freezing Precipitation","FrzgPcpn","One or more of the following: freezing rain or freezing drizzle, ice pellets, any form of precipitation mixed with these",,
https://codes.nws.noaa.gov/StatPP/Uncertainty/DichProbEvents/PtypeCat/Method1/LiqdPcpn,"Liquid Precipitation","LiqdPcpn","One or more of the following:  rain, drizzle, or rain/snow mixture",,
